"","game_id","season","season_type","game_date","game_date_time","team_id","team_uid","team_slug","team_location","team_name","team_abbreviation","team_display_name","team_short_display_name","team_color","team_alternate_color","team_logo","team_home_away","team_score","team_winner","assists","blocks","defensive_rebounds","field_goal_pct","field_goals_made","field_goals_attempted","flagrant_fouls","fouls","free_throw_pct","free_throws_made","free_throws_attempted","largest_lead","offensive_rebounds","steals","team_turnovers","technical_fouls","three_point_field_goal_pct","three_point_field_goals_made","three_point_field_goals_attempted","total_rebounds","total_technical_fouls","total_turnovers","turnovers","opponent_team_id","opponent_team_uid","opponent_team_slug","opponent_team_location","opponent_team_name","opponent_team_abbreviation","opponent_team_display_name","opponent_team_short_display_name","opponent_team_color","opponent_team_alternate_color","opponent_team_logo","opponent_team_score","fast_break_points","points_in_paint","turnover_points"
"645",401018900,2018,2,2018-07-11,2018-07-11 11:30:00,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png","away",106,TRUE,31,8,21,60.3,41,68,0,19,86.7,13,15,"20",6,8,1,1,61.1,11,18,27,1,11,10,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",89,NA,NA,NA
"646",401018900,2018,2,2018-07-11,2018-07-11 11:30:00,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png","home",89,FALSE,18,0,18,41.1,30,73,0,18,90,18,20,"8",16,5,0,2,44,11,25,34,2,11,11,20,"s:40~l:59~t:20","atlanta-dream","Atlanta","Dream","ATL","Atlanta Dream","Dream","d02030","383a37","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",106,NA,NA,NA
"647",401018898,2018,2,2018-07-10,2018-07-10 20:30:00,17,"s:40~l:59~t:17","las-vegas-aces","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4","https://a.espncdn.com/i/teamlogos/wnba/500/lv.png","away",98,TRUE,26,3,30,47.9,35,73,0,17,84.6,22,26,"26",10,7,0,0,50,6,12,40,0,14,14,19,"s:40~l:59~t:19","chicago-sky","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",74,NA,NA,NA
"648",401018898,2018,2,2018-07-10,2018-07-10 20:30:00,19,"s:40~l:59~t:19","chicago-sky","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png","home",74,FALSE,22,7,22,38,27,71,1,19,75,15,20,"8",11,9,2,0,27.8,5,18,33,0,14,12,17,"s:40~l:59~t:17","las-vegas-aces","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4","https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",98,NA,NA,NA
"649",401018897,2018,2,2018-07-10,2018-07-10 20:00:00,11,"s:40~l:59~t:11","phoenix-mercury","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png","away",72,FALSE,21,3,15,43.5,27,62,0,20,85.7,12,14,"3",6,5,1,1,31.6,6,19,21,1,22,21,3,"s:40~l:59~t:3","dallas-wings","Dallas","Wings","DAL","Dallas Wings","Wings","11213e","c5d646","https://a.espncdn.com/i/teamlogos/wnba/500/dal.png",101,NA,NA,NA
"650",401018897,2018,2,2018-07-10,2018-07-10 20:00:00,3,"s:40~l:59~t:3","dallas-wings","Dallas","Wings","DAL","Dallas Wings","Wings","11213e","c5d646","https://a.espncdn.com/i/teamlogos/wnba/500/dal.png","home",101,TRUE,17,5,21,50.7,36,71,0,17,78.6,22,28,"29",15,14,0,1,38.9,7,18,36,1,14,14,11,"s:40~l:59~t:11","phoenix-mercury","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","https://a.espncdn.com/i/teamlogos/wnba/500/phx.png",72,NA,NA,NA
"651",401018896,2018,2,2018-07-10,2018-07-10 15:00:00,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png","away",77,TRUE,23,3,25,40,30,75,0,17,91.7,11,12,"10",9,10,0,0,40,6,15,34,0,12,12,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png",75,NA,NA,NA
"652",401018896,2018,2,2018-07-10,2018-07-10 15:00:00,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png","home",75,FALSE,20,7,32,43.5,30,69,0,16,90.9,10,11,"12",9,9,0,1,20.8,5,24,41,1,21,21,6,"s:40~l:59~t:6","los-angeles-sparks","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","https://a.espncdn.com/i/teamlogos/wnba/500/la.png",77,NA,NA,NA
"653",401018895,2018,2,2018-07-08,2018-07-08 19:00:00,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png","away",91,FALSE,19,3,22,45.1,32,71,0,19,81.3,13,16,"8",8,6,1,0,48.3,14,29,30,0,8,7,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png",97,NA,NA,NA
"654",401018895,2018,2,2018-07-08,2018-07-08 19:00:00,14,"s:40~l:59~t:14","seattle-storm","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/sea.png","home",97,TRUE,18,0,28,50,31,62,0,16,88.5,23,26,"14",8,5,0,0,60,12,20,36,0,10,10,16,"s:40~l:59~t:16","washington-mystics","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",91,NA,NA,NA
